"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Sanders","Warren","Bloomberg","Buttigieg","Klobuchar","Harris","O'Rourke","Yang","Gabbard","Booker","Steyer","Bennet","Patrick","Delaney","Castro","Williamson","Bullock","Sestak","Messam","Ryan","de Blasio","Gillibrand","Inslee","Hickenlooper","Moulton","Swalwell","Gravel","Brown","Holder","Clinton","McAuliffe","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"69","IBD/TIPP","IBD/TIPP","125935","poll","1/3 - 1/11","","333 RV","","",Biden,,+6.0,#009900,2020-01-14 10:20:23,"https://www.investors.com/politics/joe-biden-leads-democratic-race-loses-electability-edge-vs-president-trump-ibd-tipp-poll/",2020-01-03,2020-01-11,"1","Biden","","+6.0","#009900",26,15.0,20, 7, 9, 3,NA,NA, 3, 1, 0, 2, 0, 0, 1,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144, 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"224","YouGov","Economist/YouGov","125814","poll","1/5 - 1/7","","574 RV","","",Biden,,+5.0,#009900,2020-01-08 10:59:52,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6s5t9qkjll/econTabReport.pdf",2020-01-05,2020-01-07,"1","Biden","","+5.0","#009900",27,20.0,22, 3, 7, 3,NA,NA, 3, 3, 1, 2, 0, 0, 0,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"150","Morning Consult","Politico/Morning Consult","125796","poll","12/30 - 1/5","","17213 RV","","",Biden,,+8.0,#009900,2020-02-19 08:53:43,"https://morningconsult.com/2020-democratic-primary/",2019-12-30,2020-01-05,"1","Biden","","+8.0","#009900",31,23.0,14, 7, 8, 3,NA,NA, 4, 2, 2, 4, 1, 0, 1,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"225","YouGov","Economist/YouGov","125744","poll","12/28 - 12/31","","548 RV","","",Biden,,+10.0,#009900,2020-01-08 11:17:01,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/2r6hyqtv9p/econTabReport.pdf",2019-12-28,2019-12-31,"1","Biden","","+10.0","#009900",29,19.0,18, 3, 8, 4,NA,NA, 3, 3, 2, 2, 0, 0, 0, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"67","Harris Insights & Analytics","Harvard-Harris","125769","poll","12/27 - 12/29","","756 RV","","",Biden,,+13.0,#009900,2020-01-04 11:06:12,"https://harvardharrispoll.com/wp-content/uploads/2020/01/HHP_December2019_RegisteredVoters_Topline.pdf",2019-12-27,2019-12-29,"1","Biden","","+13.0","#009900",30,17.0,12, 7, 7, 2,NA,NA, 3, 1, 2, 2,NA,NA, 1, 1, 0,NA,NA, 1,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,169,"yes","no","Online","no", 0.8, 0.9,"C+","R +1.3","83%","49%",5.1,3.5, 1.8, 0.8, 0.6, 0.9,169,"R +1.5","R +1.3","D +0.7",4.0,0.00
"122","Morning Consult","Politico/Morning Consult","125742","poll","12/23 - 12/29","","17787 RV","","",Biden,,+11.0,#009900,2020-02-03 14:57:23,"https://morningconsult.com/2020-democratic-primary/",2019-12-23,2019-12-29,"1","Biden","","+11.0","#009900",32,21.0,14, 6, 8, 3,NA,NA, 4, 1, 3, 3, 1, 0, 1, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"261",NA,"The Hill/HarrisX","125767","poll","12/27 - 12/28","","431 RV","4.7","",Biden,,+12.0,#009900,2020-01-05 00:35:47,"https://thehill.com/hilltv/rising/476689-bloomberg-rises-to-third-place-alongside-warren-in-national-poll",2019-12-27,2019-12-28,"1","Biden","","+12.0","#009900",28,16.0,11,11, 6, 2,NA,NA, 2, 2, 2, 2, 0, 0, 2, 2, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","YouGov","Economist/YouGov","125669","poll","12/22 - 12/24","","586 LV","","",Biden,,+11.0,#009900,2020-01-22 17:19:53,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/t4lyjjoemc/econTabReport.pdf",2019-12-22,2019-12-24,"1","Biden","","+11.0","#009900",30,17.0,19, 4, 7, 5,NA,NA, 3, 2, 2, 1, 0, 0, 1, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"162","Morning Consult","Politico/Morning Consult","125668","poll","12/20 - 12/22","","7178 RV","","",Biden,,+10.0,#009900,2020-01-28 09:11:22,"https://morningconsult.com/2020-democratic-primary/",2019-12-20,2019-12-22,"1","Biden","","+10.0","#009900",31,21.0,15, 6, 9, 3,NA,NA, 5, 2, 3, 3, 1, 0, 1, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"30","Emerson College","Emerson","125577","poll","12/15 - 12/17","","525 RV","","",Biden,,+7.0,#009900,2020-01-08 11:18:28,"https://emersonpolling.reportablenews.com/pr/december-national-poll-biden-and-sanders-pull-away-from-the-pack-as-warren-falls",2019-12-15,2019-12-17,"1","Biden","","+7.0","#009900",32,25.0,12, 3, 8, 2,NA,NA, 6, 4, 2, 2, 0, 0, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"178","NBC News/Wall Street Journal","NBC News/Wall St. Jrnl","125647","poll","12/14 - 12/17","","410 LV","","",Biden,,+7.0,#009900,2019-12-19 08:38:49,"https://www.nbcnews.com/politics/meet-the-press/stable-political-base-biden-remains-top-dem-field-nbc-wsj-n1104496",2019-12-14,2019-12-17,"1","Biden","","+7.0","#009900",28,21.0,18, 4, 9, 5,NA,NA, 3, 2, 2, 1, 0, 0, 0, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221, 29,"yes","yes","Live","no",-0.6,-0.4,"A/B°","D +0.8","74%","14%",4.0,5.0,-0.8,-0.6,-0.3,-0.4, 24,"D +1.7","D +0.8","D +1.3",2.9,0.53
"252","YouGov","Economist/YouGov","125613","poll","12/14 - 12/17","","555 LV","","",Biden,,+10.0,#009900,2020-01-22 17:21:01,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ua3ar45wbg/econTabReport.pdf",2019-12-14,2019-12-17,"1","Biden","","+10.0","#009900",29,19.0,17, 4, 7, 4,NA,NA, 3, 3, 2, 2, 1, 0, 1, 2, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"12","CNN/Opinion Research Corp.","CNN","125648","poll","12/12 - 12/15","","408 RV","","",Biden,,+6.0,#009900,2019-12-19 09:04:07,"https://cdn.cnn.com/cnn/2019/images/12/19/rel14b.-.2020.pdf",2019-12-12,2019-12-15,"1","Biden","","+6.0","#009900",26,20.0,16, 5, 8, 3,NA,NA, 3, 1, 3, 1, 0, 0, 1, 2, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"130","Morning Consult","Politico/Morning Consult","125559","poll","12/9 - 12/15","","13384 RV","","",Biden,,+9.0,#009900,2020-01-28 09:11:58,"https://morningconsult.com/2020-democratic-primary/",2019-12-09,2019-12-15,"1","Biden","","+9.0","#009900",31,22.0,15, 7, 8, 2,NA,NA, 4, 2, 3, 3, 1, 0, 1, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"195","Quinnipiac University","Quinnipiac","125549","poll","12/11 - 12/15","","567 RV","","",Biden,,+13.0,#009900,2020-01-08 12:11:42,"https://poll.qu.edu/national/release-detail?ReleaseID=3652",2019-12-11,2019-12-15,"1","Biden","","+13.0","#009900",30,16.0,17, 7, 9, 3,NA,NA, 3, 1, 2, 1, 0, 0, 0, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"68","IBD/TIPP","IBD/TIPP","125543","poll","12/5 - 12/14","","312 RV","","",Biden,,+8.0,#009900,2020-01-08 11:19:01,"https://www.investors.com/news/joe-biden-leads-democrats-president-trump-tops-elizabeth-warren-bernie-sanders-ibd-tipp-poll/",2019-12-05,2019-12-14,"1","Biden","","+8.0","#009900",26,18.0,14, 5, 9, 2,NA,NA, 2, 1, 3, 2, 1, 0, 0, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144, 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"199","Suffolk University","USA Today/Suffolk","125560","poll","12/10 - 12/14","","384 LV","","",Biden,,+9.0,#009900,2019-12-17 07:56:02,"https://www.usatoday.com/story/news/politics/elections/2019/12/16/trump-impeachment-2020-election-leads-democratic-rivals/2663659001/",2019-12-10,2019-12-14,"1","Biden","","+9.0","#009900",23,14.0,13, 6, 8, 3,NA,NA, 2, 1, 3, 1, 0,NA, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323, 79,"no","yes","Live","no",-0.8,-0.4,"A-","D +0.5","80%","24%",4.9,6.5,-1.5,-0.8,-0.6,-0.4, 49,"D +0.8","D +0.5","D +1.8",5.8,0.00
"281",NA,"The Hill/HarrisX","125641","poll","12/13 - 12/14","","456 RV","","",Biden,,+16.0,#009900,2019-12-18 17:14:21,"https://www.youtube.com/watch?v=d7Tqe1aEy-Y",2019-12-13,2019-12-14,"1","Biden","","+16.0","#009900",29,13.0,13, 5, 5, 3,NA,NA, 3, 1, 2, 3, 1, 2, 2, 4, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Fox News/Beacon Research/Shaw & Co. Research","FOX News","125511","poll","12/8 - 12/11","","453 RV","3.0","",Biden,,+10.0,#009900,2020-01-08 12:14:41,"https://www.foxnews.com/politics/fox-news-poll-results-december-8-11-2019",2019-12-08,2019-12-11,"1","Biden","","+10.0","#009900",30,20.0,13, 5, 7, 5,NA,NA, 3, 3, 2, 1, 1, 0, 0, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"88","Marist College","NPR/PBS/Marist","125536","poll","12/9 - 12/11","","704 RV","5.4","",Biden,,+2.0,#009900,2019-12-16 10:00:11,"http://maristpoll.marist.edu/wp-content/uploads/2019/12/UPDATED_NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_1912131159.pdf#page=3",2019-12-09,2019-12-11,"1","Biden","","+2.0","#009900",24,22.0,17, 4,13, 4,NA,NA, 5, 1, 4, 0, 1, 0, 0, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,172,"yes","yes","Live","no",-1.1,-1.0,"A+","R +0.2","84%","24%",5.2,6.3,-1.0,-1.1,-0.9,-1.0,111,"R +0.2","R +0.2","R +0.0",5.1,0.03
"256","YouGov","Economist/YouGov","125375","poll","12/7 - 12/10","","497 LV","2.9","",Biden,,+5.0,#009900,2020-01-22 17:21:54,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4yqcix83qw/econTabReport.pdf",2019-12-07,2019-12-10,"1","Biden","","+5.0","#009900",26,16.0,21, 4,11, 2,NA,NA, 3, 3, 3, 1, 1, 0, 0, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"197","Quinnipiac University","Quinnipiac","125345","poll","12/4 - 12/9","","665 RV","3.8","",Biden,,+12.0,#009900,2019-12-10 15:10:14,"https://poll.qu.edu/national/release-detail?ReleaseID=3651",2019-12-04,2019-12-09,"1","Biden","","+12.0","#009900",29,17.0,15, 5, 9, 3,NA,NA, 4, 2, 1, 1, 1, 0, 1, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"91","Monmouth University","Monmouth","125343","poll","12/4 - 12/8","","384 RV","5.0","",Biden,,+5.0,#009900,2019-12-10 09:25:01,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_US_121019/",2019-12-04,2019-12-08,"1","Biden","","+5.0","#009900",26,21.0,17, 5, 8, 4,NA,NA, 3, 0, 2, 1, 0, 1, 0, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,100,"yes","yes","Live","no",-1.9,-1.5,"A+","D +1.3","80%","21%",5.2,6.5,-1.1,-1.9,-1.6,-1.5, 70,"D +1.8","D +1.3","R +0.5",5.1,0.20
"116","Morning Consult","Politico/Morning Consult","125342","poll","12/2 - 12/8","","15442 RV","","",Biden,,+8.0,#009900,2019-12-09 22:08:59,"https://morningconsult.com/2020-democratic-primary/",2019-12-02,2019-12-08,"1","Biden","","+8.0","#009900",30,22.0,16, 6, 9, 2,NA,NA, 4, 2, 3, 3, 1, 0, 1, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"223","YouGov","Economist/YouGov","125276","poll","12/1 - 12/3","","541 LV","2.9","",Biden,,+9.0,#009900,2020-01-22 17:22:55,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/799kgtotz3/econTabReport.pdf",2019-12-01,2019-12-03,"1","Biden","","+9.0","#009900",27,13.0,18, 3,12, 3, 4,NA, 2, 2, 3, 0, 1, 1, 0, 1, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"109","Morning Consult","Politico/Morning Consult","125273","poll","11/25 - 12/1","","15773 RV","","",Biden,,+9.0,#009900,2019-12-02 18:37:50,"https://morningconsult.com/2020-democratic-primary/",2019-11-25,2019-12-01,"1","Biden","","+9.0","#009900",29,20.0,15, 5, 9, 2, 5,NA, 4, 2, 2, 2, 1, 0, 1, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"273",NA,"The Hill/HarrisX","125270","poll","11/30 - 12/1","","437 RV","4.7","",Biden,,+16.0,#009900,2019-12-02 14:29:57,"https://thehill.com/hilltv/rising/472629-bloomberg-overtakes-harris-in-new-poll",2019-11-30,2019-12-01,"1","Biden","","+16.0","#009900",31,15.0,10, 6, 9, 2, 2,NA, 2, 0, 1, 2, 1, 1, 1, 2, 0, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Harris Insights & Analytics","Harvard-Harris","125322","poll","11/27 - 11/29","","756 RV","","",Biden,,+13.0,#009900,2020-01-08 12:16:12,"https://harvardharrispoll.com/wp-content/uploads/2019/12/HHP_November2019_Topline_RegisteredVoters.pdf",2019-11-27,2019-11-29,"1","Biden","","+13.0","#009900",29,16.0,13, 7, 8, 2, 5,NA, 3, 1, 1, 2,NA,NA, 1, 0, 0,NA,NA, 0,NA,NA,NA,NA,NA,NA, 1, 1,NA,NA,NA,NA,133,169,"yes","no","Online","no", 0.8, 0.9,"C+","R +1.3","83%","49%",5.1,3.5, 1.8, 0.8, 0.6, 0.9,169,"R +1.5","R +1.3","D +0.7",4.0,0.00
"227","YouGov","Economist/YouGov","125247","poll","11/24 - 11/26","","550 RV","3.0","",Biden,,+6.0,#009900,2020-01-08 12:17:10,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/a10nw9wbas/econTabReport.pdf",2019-11-24,2019-11-26,"1","Biden","","+6.0","#009900",23,15.0,17, 3,12, 3, 4,NA, 3, 2, 2, 1, 0, 1, 1, 1, 1, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"179","Quinnipiac University","Quinnipiac","125202","poll","11/21 - 11/25","","1355 RV","3.2","",Biden,,+8.0,#009900,2019-11-26 16:01:07,"https://poll.qu.edu/national/release-detail?ReleaseID=3650",2019-11-21,2019-11-25,"1","Biden","","+8.0","#009900",24,13.0,14, 3,16, 3, 3,NA, 2, 1, 2, 0, 2, 0, 0, 2, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"8","CNN/Opinion Research Corp.","CNN","125219","poll","11/21 - 11/24","","431 RV","5.7","",Biden,,+11.0,#009900,2019-11-27 08:12:33,"https://www.cnn.com/2019/11/27/politics/cnn-2020-poll-data-doc/index.html",2019-11-21,2019-11-24,"1","Biden","","+11.0","#009900",28,17.0,14, 3,11, 2, 3,NA, 3, 0, 2, 3, 0, 0, 0, 1, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"160","Morning Consult","Politico/Morning Consult","125174","poll","11/21 - 11/24","","8102 RV","","",Biden,,+9.0,#009900,2019-11-25 22:29:03,"https://morningconsult.com/2020-democratic-primary/",2019-11-21,2019-11-24,"1","Biden","","+9.0","#009900",30,21.0,15, 2, 9, 2, 5,NA, 4, 2, 2, 2, 1, 0, 1, 1, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"203","SurveyUSA","SurveyUSA","125218","poll","11/20 - 11/21","","1088 LV","3.6","",Biden,,+13.0,#009900,2019-11-27 08:07:50,"http://www.surveyusa.com/client/PollReport.aspx?g=1a56d146-5d59-4e5f-a9fa-78219f1ff42f",2019-11-20,2019-11-21,"1","Biden","","+13.0","#009900",30,17.0,15, 3,11, 2, 5,NA, 4, 1, 2, 2,NA, 1,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,790,"yes","partial","IVR/Online/Live","no",-1.1,-0.8,"A","D +0.1","90%","19%",4.6,5.9,-1.1,-1.1,-1.0,-0.8,628,"D +0.1","D +0.1","R +0.3",5.0,0.12
"22","Emerson College","Emerson","125130","poll","11/17 - 11/20","","468 RV","4.5","",Tie,,,,2019-11-21 12:15:20,"https://emersonpolling.reportablenews.com/pr/november-national-poll-support-for-impeachment-declines-biden-and-sanders-lead-democratic-primary",2019-11-17,2019-11-20,"1","Tie","","","",27,27.0,20, 1, 7, 1, 3,NA, 4, 2, 1, 2, 0,NA, 0, 1, 0, 0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"222","YouGov","Economist/YouGov","125020","poll","11/17 - 11/19","","586 RV","","",Biden,,+8.0,#009900,2019-11-20 09:21:01,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/u9tu99dui5/econTabReport.pdf",2019-11-17,2019-11-19,"1","Biden","","+8.0","#009900",30,12.0,22,NA, 9, 2, 4,NA, 2, 3, 1, 1, 1,NA, 0, 0, 0, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"165","Morning Consult","Politico/Morning Consult","124979","poll","11/11 - 11/17","","17050 RV","","",Biden,,+12.0,#009900,2019-11-18 23:29:02,"https://morningconsult.com/2020-democratic-primary/",2019-11-11,2019-11-17,"1","Biden","","+12.0","#009900",32,20.0,17, 3, 8, 2, 5,NA, 3, 2, 2, 1, 1,NA, 1, 1, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"283",NA,"The Hill/HarrisX","124978","poll","11/16 - 11/17","","449 RV","","",Biden,,+12.0,#009900,2019-11-18 15:38:14,"https://thehill.com/hilltv/rising/470911-sanders-reclaims-second-place-in-new-poll",2019-11-16,2019-11-17,"1","Biden","","+12.0","#009900",30,18.0,15, 3, 7, 1, 4,NA, 2, 1, 1, 1, 1,NA, 2, 2, 0, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","YouGov","Economist/YouGov","124918","poll","11/10 - 11/12","","600 LV","","",Warren,,+3.0,#996600,2020-01-22 17:24:33,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/7umtlf80ov/econTabReport.pdf",2019-11-10,2019-11-12,"1","Warren","","+3.0","#996600",23,17.0,26,NA, 9, 2, 5,NA, 4, 2, 1, 1, 0,NA, 1, 2, 0, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"134","Morning Consult","Politico/Morning Consult","124884","poll","11/4 - 11/10","","16400 RV","","",Biden,,+12.0,#009900,2019-11-13 10:00:08,"https://morningconsult.com/2020-democratic-primary/",2019-11-04,2019-11-10,"1","Biden","","+12.0","#009900",32,20.0,19, 2, 8, 2, 5,NA, 3, 1, 3, 1, 1,NA, 1, 1, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
